번호,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
1077,우정약국,0900,2000,,,,,37.62966289999999,127.0168545,강북구
1078,수유상록수약국,0900,1230,,,,,37.6370888,127.0251761,강북구
1079,대창약국,0900,1500,,,,,37.611946100000004,127.0354377,강북구
1080,정해약국,0900,2100,,,,,37.64905,127.01412739999999,강북구
1081,수유참사랑약국,0900,1700,,,,,37.626244799999995,127.02582190000001,강북구
1082,밀알약국,0900,1930,,,,,37.6347643,127.02258590000002,강북구
1083,한사랑온누리약국,0900,1600,0900,1600,0900,1600,37.6322927,127.013805,강북구
1084,윤약국,0900,1300,,,,,37.6418633,127.0237563,강북구
1085,가족사랑약국,0900,1600,,,,,37.6246572,127.0320574,강북구
1086,하나약국,0900,1500,,,,,37.6576224,127.01336809999998,강북구
1087,우리들약국,0830,1700,,,,,37.6284375,127.039396,강북구
1088,솔약국,0900,2100,,,,,37.62012360000001,127.01123700000001,강북구
1089,밝은온누리약국,0900,1600,,,1000,1300,37.620898100000005,127.02037390000001,강북구
1090,그린팜약국,0900,1600,,,,,37.637517200000005,127.0246811,강북구
1091,매일약국,0830,1400,,,,,37.641800200000006,127.02909629999999,강북구
1092,에버그린약국,0900,1500,,,,,37.6378951,127.0303005,강북구
1093,드림약국,0900,1600,,,,,37.6348099,127.0287567,강북구
1094,생수당약국,0900,2100,00  ,00  ,,,37.6252206,127.0322019,강북구
1095,오렌지약국,0830,1700,,,,,37.619918799999994,127.0128244,강북구
1096,참바로약국,0900,1600,,,,,37.626145,127.04714140000002,강북구
1097,수유온누리약국,0830,2000,1000,1400,,,37.636756299999995,127.02485190000002,강북구
1098,정수약국,0900,1600,,,,,37.6200027,127.01942849999999,강북구
1099,다나을약국,,,,,,,37.637840000000004,127.0250315,강북구
1100,수온누리약국,0900,1500,,,,,37.6142301,127.02087820000001,강북구
1101,강북제일약국,0900,1900,,,,,37.640326200000004,127.0286736,강북구
1102,운산약국,0830,1430,,,,,37.6316673,127.0244074,강북구
1103,강북제일약국,0900,1900,,,,,37.6252348,127.0259382,강북구
1104,다정약국,0900,2000,,,,,37.6102114,127.03211100000001,강북구
1105,새봄약국,0900,1830,,,,,37.6435514,127.0222838,강북구
1106,건강비타민약국,0900,1600,,,0900,2100,37.6249579,127.01871990000001,강북구
1107,메디팜미소약국,0900,1600,,,,,37.622410200000004,127.0300782,강북구
1108,보건약국,0900,1700,,,,,37.63363270000001,127.0339656,강북구
1109,번동프라자약국,1000,2130,1400,2130,,,37.6347992,127.0355831,강북구
1110,선영약국,0900,2100,,,0900,2100,37.645982200000006,127.0195505,강북구
1111,녹원당약국,0900,1300,,,,,37.6245804,127.0470877,강북구
1112,선영약국,0900,2100,,,0900,2100,37.647988500000004,127.0161631,강북구
1113,동아약국,0900,1500,,,,,37.6194388,127.029147,강북구
1114,미양온누리약국,0900,2100,,,,,37.620104299999994,127.01821389999999,강북구
1115,사랑온누리약국,0900,1700,,,,,37.6125465,127.03042479999999,강북구
1116,임온누리약국,0830,1400,,,,,37.628561499999996,127.04001740000001,강북구
1117,삼우약국,0900,2100,,,,,37.654810499999996,127.012748,강북구
1118,올리브약국,0930,1500,,,,,37.642233000000004,127.02269309999998,강북구
1119,새현대약국,0900,2000,,,,,37.6366711,127.0121088,강북구
1120,북부약국,0830,1300,,,,,37.622225,127.0281875,강북구
1121,온누리대성약국,0900,1330,,,,,37.6318977,127.01807579999999,강북구
1122,행복가득약국,0900,1700,,,,,37.642802200000006,127.02201370000002,강북구
1123,번동약국,0900,1800,,,,,37.6283655,127.03985,강북구
1124,종로태평양약국,0900,2100,,,,,37.6135473,127.03434209999999,강북구
1125,새서울약국,0900,1500,,,,,37.62016679999999,127.0212908,강북구
1126,광제약국,0900,1900,,,,,37.6204284,127.0287354,강북구
1127,민들레약국,0830,1500,,,,,37.6193356,127.02068440000001,강북구
1128,화원약국,,,0900,1800,,,37.6450138,127.01546119999999,강북구
1129,백십자약국,0900,2000,,,,,37.6366255,127.0131235,강북구
1130,동북약국,0900,1600,,,,,37.620298600000005,127.018925,강북구
1131,옵티마네오프라자약국,0930,1900,,,,,37.6386636,127.02701040000001,강북구
1132,늘푸른약국,0900,2000,,,0900,2000,37.630948100000005,127.01754340000001,강북구
1133,길약국,0830,1700,,,,,37.630367799999995,127.023074,강북구
1134,강북다모아약국,0900,1800,,,,,37.6162721,127.02952009999998,강북구
1135,복지약국,,,,,,,37.6321131,127.0383199,강북구
1136,강북메디칼약국,,,,,,,37.6258469,127.02684550000001,강북구
1137,고전약국,,,,,,,37.6235788,127.0268196,강북구
1138,조아약국,0900,1600,,,0900,1900,37.6147974,127.02934440000001,강북구
1139,필약국,0900,1400,0900,1300,,,37.6289207,127.0393082,강북구
1140,조은약국,0900,1700,0900,1600,,,37.6367746,127.02389309999998,강북구
1141,중앙약국,0800,1900,,,,,37.628778100000005,127.0391752,강북구
1142,수유프라자약국,0800,2300,1000,2300,0900,2100,37.633884,127.0315693,강북구
1143,우리대한약국,0800,2100,1000,2100,,,37.6350823,127.02289329999999,강북구
1144,봄약국,0900,1530,,,0900,1300,37.622410200000004,127.0300782,강북구
1145,이층약국,1000,1530,,,,,37.6265615,127.02350200000001,강북구
1146,수유참사랑약국,0900,1700,,,,,37.6474713,127.01432390000001,강북구
1147,수유파랑새약국,,,0900,1800,,,37.645232799999995,127.01535859999998,강북구
1148,삼성약국,0900,2100,1000,2100,0900,2100,37.6451106,127.01994950000001,강북구
1149,바른약국,0800,2200,0800,2200,,,37.644157799999995,127.0228334,강북구
1150,삼화온누리약국,,,,,,,37.6260494,127.02660049999999,강북구
1151,손온누리약국,0800,1500,,,,,37.66015529999999,127.0419115,도봉구
1152,백운약국,0830,1900,,,1000,2200,37.64743370000001,127.03440220000002,도봉구
1153,청솔동아약국,0930,1400,,,,,37.6571794,127.0483916,도봉구
