번호,약국명,일요일 시작,일요일 종료,위도,경도,구별
232,김약국,1000,2100,37.5221403,126.8333183,양천구
233,가까운온누리약국,1300,2100,37.5173729,126.8653092,양천구
234,예원약국,1000,1400,37.5668425,126.963932,서대문구
235,한신약국,900,1900,37.5850354,126.9474505,서대문구
236,대유약국,900,2130,37.5818166,126.9358604,서대문구
237,새무지개약국,900,1300,37.5210264,126.8521472,양천구
238,소망온누리약국,1000,2100,37.5217128,126.8340954,양천구
239,건강온누리약국,900,2000,37.5049188,126.9411015,동작구
240,사당프라자약국,930,1700,37.4832665,126.9732338,동작구
241,사당소화약국,1030,1700,37.4771402,126.9811313,동작구
242,영신약국,1500,2200,37.5763376,126.9145067,서대문구
243,가정약국,900,1300,37.5466283,126.8720586,양천구
244,신국경약국,1100,1400,37.5457623,126.8711007,양천구
245,목동온누리약국,1200,1830,37.5154827,126.8613901,양천구
246,연성약국,900,1300,37.5026898,126.8626537,양천구
247,한울약국,900,1300,37.5257763,126.8703272,양천구
248,매일여는약국,900,2400,37.5274468,126.8715522,양천구
249,대흥약국,900,2130,37.5067403,126.9094654,영등포구
250,온누리유진약국,900,1700,37.5139257,126.9176431,영등포구
251,산들약국,1100,1900,37.5563679,127.1419695,강동구
252,곰달래약국,900,1900,37.531527,126.8580857,강서구
253,미주약국,1800,2200,37.574644,126.8189919,강서구
254,종대약국,800,2200,37.5085758,126.9003381,영등포구
255,태령약국,1000,2100,37.5063336,126.9107957,영등포구
256,수산약국,800,2230,37.4997882,126.9006513,영등포구
257,종로당약국,1000,1700,37.5635612,126.8547253,강서구
258,메디팜대원약국,1400,2200,37.6005485,126.9189476,은평구
259,하늘약국,900,1300,37.6044098,126.9239269,은평구
260,한림약국,1100,2100,37.5365511,127.134689,강동구
261,강동정문약국,1300,1700,37.5283515,127.1457028,강동구
262,시민당약국,900,2100,37.5380392,127.1398045,강동구
263,애플약국,900,1300,37.6350842,126.923615,은평구
264,오온누리약국,900,1500,37.6055353,126.9221587,은평구
265,래미안온누리약국,1000,1700,37.5318721,126.9031482,영등포구
266,발산그랜드약국,1000,2000,37.5594039,126.8389535,강서구
267,가양마트약국,1000,2200,37.5578966,126.8622978,강서구
268,은평자연약국,1400,2100,37.6208234,126.9172857,은평구
269,불광온누리약국,1030,2100,37.6108916,126.9299497,은평구
270,정문온누리약국,830,2200,37.6084587,126.9312292,은평구
271,아름다운달과별약국,1000,2400,37.6190571,126.9201953,은평구
272,메디팜대원약국,1400,2200,37.6004562,126.9210757,은평구
273,국제공항약국,700,1930,37.555525,126.8067017,강서구
274,마곡하늘약국,1100,1900,37.577303,126.8129837,강서구
275,엄마약국,1300,2000,37.4950722,126.8973708,영등포구
276,정안약국,830,2030,37.5013658,126.9170282,영등포구
277,천사온누리약국,1200,1900,37.5063001,126.9614927,동작구
278,신중앙약국,1300,2400,37.5078385,126.9608187,동작구
279,상록수약국,900,2000,37.5522768,127.1296204,강동구
280,튼튼온누리약국,900,1730,37.5476646,127.1269648,강동구
281,강동한우리약국,930,1930,37.5503621,127.1279032,강동구
282,개화약국,900,2200,37.5728788,126.8073293,강서구
283,스카이약국,1000,2200,37.5667733,126.8025118,강서구
284,상도시장약국,1030,2200,37.5013318,126.937092,동작구
285,상도시장약국,1030,2200,37.4879346,126.9809066,동작구
286,가족건강약국,800,2200,37.5053511,126.9465209,동작구
287,보건약국,1100,1900,37.5232097,126.9330608,영등포구
288,세종로약국,900,1600,37.5046076,126.9218357,영등포구
289,동방약국,900,1300,37.5430751,126.8393743,강서구
290,새싹약국,1000,1400,37.5484157,126.8367396,강서구
291,세종약국,1000,1400,37.464637,126.9025193,금천구
292,오성당약국,730,2100,37.4554654,126.9038933,금천구
293,대우당약국,1900,2200,37.4505615,126.906579,금천구
294,녹수프라자약국,900,2200,37.4657159,126.9017801,금천구
295,지현약국,1000,2300,37.5136894,126.9222537,영등포구
296,윤중약국,900,2100,37.5213559,126.9249795,영등포구
297,자성당약국,900,1800,37.5639494,126.812495,강서구
298,월성약국,800,2100,37.5316931,126.8379837,강서구
299,미동약국,1000,2100,37.5346186,126.8387925,강서구
300,성신약국,900,2200,37.5330576,126.8589924,강서구
301,성혜약국,900,2100,37.5280344,126.8421518,강서구
302,미주약국,1800,2200,37.561687,126.8098122,강서구
303,성신약국,900,2200,37.549376,126.8340776,강서구
304,태양약국,1000,2200,37.5353774,126.8614803,강서구
305,남문프라자약국,900,2100,37.4798346,126.8824997,금천구
306,비즈메드약국,1000,1700,37.4530099,126.9017478,금천구
307,선화온누리약국,1200,2100,37.5104348,126.9170284,영등포구
308,대명약국,1400,2030,37.5142196,126.9069031,영등포구
309,우당약국,800,2200,37.5181045,126.9329752,영등포구
310,녹십자약국,1400,2300,37.5557665,126.8571546,강서구
311,웰빙국내선약국,700,1900,37.555525,126.8067017,강서구
312,새한약국,1700,2200,37.5453501,126.8620483,강서구
313,별장약국,900,2330,37.4491259,126.9082092,금천구
314,정암산약국,900,2200,37.4511037,126.9023758,금천구
315,토마스약국,900,2200,37.4672831,126.8991085,금천구
316,성심약국,800,2100,37.4597989,126.9043307,금천구
317,삼화약국,800,2230,37.4500511,126.9040017,금천구
318,남문프라자약국,900,2100,37.4725609,126.8986569,금천구
319,예닮약국,900,1300,37.469756,126.8975031,금천구
320,명수대약국,1000,2000,37.5069292,126.9615224,동작구
321,약산약국,1030,2000,37.5112753,126.91446,영등포구
322,서진약국,900,1300,37.5022802,126.8963702,영등포구
323,온누리세종약국,1400,1900,37.4776948,126.9780598,동작구
324,대남약국,900,2200,37.5020997,126.9369103,동작구
325,명인약국,1400,2000,37.4980298,126.9207304,동작구
326,인화약국,1000,2100,37.5111191,126.9451481,동작구
327,제일약국,1500,2030,37.5041589,126.9225343,동작구
328,호약국,900,2100,37.5335165,126.8359459,양천구
329,제성약국,1100,1900,37.5395496,126.8660131,양천구
330,신왕약국,1230,2000,37.5335416,126.8267356,양천구
331,상마약국,1030,1730,37.5232563,126.8758225,양천구
332,내외약국,1000,1300,37.5182365,126.8417727,양천구
333,영민약국,900,1430,37.5345944,126.8847018,양천구
334,백십자약국,1200,2000,37.5185063,126.8429144,양천구
335,무지개약국,1030,1430,37.5485637,126.8636902,양천구
336,사당소화약국,1030,1700,37.4983838,126.9210091,동작구
337,상아온누리약국,900,1300,37.4976242,126.9439424,동작구
338,아름다운약국,1000,1900,37.5515099,126.9619171,마포구
339,태평양약국,900,2400,37.5527992,126.9239678,마포구
340,정아약국,900,2100,37.5481148,126.9181538,마포구
341,메디팜덕인약국,1000,1700,37.5568536,126.9513783,마포구
342,더블유스토어연세약국,830,1230,37.5575783,126.9151049,마포구
343,신일약국,1600,2000,37.5560321,126.9624213,마포구
344,영진약국,1000,1030,37.5371027,127.115612,송파구
345,비온뒤숲속약국,1200,2100,37.5581472,126.9078145,마포구
346,더블유스토어연세약국,830,1230,37.5551342,126.9356458,마포구
347,애오개약국,900,1500,37.5519822,126.9565201,마포구
348,이화키즈팜약국,830,1330,37.5458958,126.9515058,마포구
349,옵티마상원약국,1000,2100,37.5555962,126.9101345,마포구
350,이화메세나약국,1300,2100,37.5489656,126.9134767,마포구
351,W스토아청와약국,830,2300,37.4845387,126.8880108,구로구
352,구로종로약국,1030,2130,37.4957517,126.8425667,구로구
353,하나온누리약국,1500,2100,37.4911085,126.8419011,구로구
354,365열린약국,900,2200,37.5026074,126.8498258,구로구
355,성인약국,1000,2200,37.486498,126.8561607,구로구
356,다은온누리약국,1100,1700,37.4741978,126.9337003,관악구
357,새태평양온누리약국,1100,2200,37.4753949,126.9654829,관악구
358,구로종로약국,1030,2130,37.5025245,126.8496404,구로구
359,한마을약국,1000,2100,37.4952998,126.8625447,구로구
360,대웅프라자약국,1300,2000,37.506086,126.888665,구로구
361,광주약국,900,2200,37.4878929,126.9582546,관악구
362,일광약국,830,2030,37.4868485,126.9175511,관악구
363,대림약국,830,2400,37.4764875,126.9587646,관악구
364,송파제일약국,1300,1900,37.4967226,127.1317199,송파구
365,문정우리들약국,1000,1500,37.5119129,127.1135622,송파구
366,3층메디칼약국,1000,1800,37.5157197,127.1322328,송파구
367,일번약국,1000,1730,37.5307648,127.112985,송파구
368,시장온누리약국,930,2030,37.5370915,127.1213535,송파구
369,태양약국,1000,2200,37.4955825,126.8423024,구로구
370,디큐브약국,1100,2100,37.5084321,126.8887332,구로구
371,녹십자약국,1600,2100,37.4906386,126.8842679,구로구
372,두산약국,900,1300,37.4917902,126.8920319,구로구
373,성보약국,900,2000,37.4816072,126.9432396,관악구
374,마천푸른솔약국,1100,2000,37.4981642,127.1469278,송파구
375,365바른약국,830,2200,37.5119423,127.0870254,송파구
376,가든파이브약국,1000,2200,37.4775778,127.1249983,송파구
377,조아약국,1000,2200,37.5023699,126.8814842,구로구
378,태영약국,900,1300,37.5055816,126.889833,구로구
379,태평양약국,1730,2130,37.484189,126.9273666,관악구
380,봉천프라자약국,1000,2100,37.4819264,126.9427614,관악구
381,태평양약국,1000,2100,37.5078652,127.0879833,송파구
382,그랜드약국,900,2000,37.5092777,127.1248569,송파구
383,송파그랜드약국,1200,2200,37.4849538,127.1259706,송파구
384,팜플러스약국,900,2200,37.4956238,127.1220318,송파구
385,열린약국,2000,2200,37.5035169,127.1138097,송파구
386,수태평양약국,900,2100,37.5026376,126.8499599,구로구
387,대자연약국,1500,2200,37.5459172,127.1335363,강동구
388,강동태평양약국,900,2200,37.5263296,127.1351805,강동구
389,새아름약국,1500,1830,37.5504248,127.1288335,강동구
390,용성약국,800,2100,37.5548972,127.137492,강동구
391,우리들약국,1000,2430,37.5509801,127.1275225,강동구
392,송파태양약국,1200,2000,37.5108761,127.1155268,송파구
