index,x축,y축
122,37.5645872,126.9989136
123,37.5533366,127.0112939
124,37.5637293,126.9852878
125,37.5533105,127.009042
126,37.5630306,126.9732584
127,37.5612281,126.9776748
128,37.5612764,126.9923025
129,37.5694218,127.0132185
130,37.5677014,126.9788451
131,37.5584646,126.9773572
132,37.5667974,126.9815345
133,37.5624361,127.0148375
134,37.5669376,127.0015264
135,37.5673064,126.9867527
136,37.5649007,126.9929747
137,37.5690803,126.9758729
138,37.5589283,126.9659465
139,37.5636675,126.9776064
140,37.5652265,127.0195821
141,37.5627334,127.0131064
142,37.5652133,127.0063669
143,37.5599279,127.0132577
144,37.5607963,126.9988953
145,37.5669603,127.0062464
146,37.5607285,126.9777281
147,37.563844,126.9931044
148,37.560204,126.9770969
149,37.5644985,127.0107332
150,37.567854,127.0024888
151,37.5579756,126.9783282
152,37.5670341,127.0063439
153,37.5511032,127.0082145
154,37.5613555,127.0159351
155,37.561148,127.0000904
156,37.5694216,127.0110315
157,37.5617518,127.0000019
158,37.5624756,126.9963204
159,37.5634635,127.015948
160,37.5631497,127.0190592
161,37.5705358,126.9998698
162,37.572059,126.9812682
163,37.5712211,127.0039744
164,37.5727002,127.0160721
165,37.5712049,127.0025981
166,37.5704416,126.9761633
167,37.5729503,126.9793579
168,37.5768331,126.9974228
169,37.5826659,127.0021429
170,37.5758067,127.0212457
171,37.5712402,127.0022919
172,37.5817751,127.0016498
173,37.5713197,127.007659
174,37.5735393,127.0154532
175,37.5700878,126.9912669
176,37.5707152,127.0023239
177,37.57214,126.9910162
178,37.5703858,126.9740891
179,37.5706688,127.0006808
180,37.5678743,126.9682656
181,37.5794428,127.0017081
182,37.5763007,126.9707373
183,37.5762048,126.9975954
184,37.5701488,126.9927195
185,37.5710873,126.9994469
186,37.5713013,127.0004652
187,37.5855097,126.9970597
188,37.5758067,127.0212457
189,37.5700969,126.9913845
190,37.5673767,126.9656644
191,37.5674665,126.9656304
192,37.5701122,126.9919061
193,37.5812565,126.9694033
194,37.5716991,127.0013177
195,37.5671711,126.9675056
196,37.5704347,126.9747439
197,37.5752089,126.9605874
198,37.5584937,126.9742759
199,37.5627247,127.0064883
200,37.5558422,127.0109529
201,37.5516055,127.0083697
202,37.5703294,127.0192979
203,37.5631033,127.0152125
204,37.5572727,126.9768551
205,37.5708733,127.0213284
206,37.5634096,126.9837369
207,37.5621363,126.9902275
208,37.5359774,126.9619751
209,37.5201398,126.9718634
210,37.5185268,126.9806796
211,37.5487848,126.9774713
212,37.5542314,126.9685352
213,37.533217,127.0047222
214,37.5459591,126.9722727
215,37.5201398,126.9718634
216,37.5288539,126.9640447
217,37.5320738,127.0053947
218,37.5332256,127.004567
219,37.5396294,126.9608563
220,37.5407446,126.9583673
221,37.5466124,126.9815387
222,37.5305523,126.9969101
223,37.5180908,126.9787161
224,37.5332791,127.0038569
